Date,Open,High,Low,Close,Volume
2002-01-02,26.4962,26.9148,26.3292,26.9021,10842162.694065
2002-01-03,26.9905,27.8501,26.8643,27.7977,11218725.419865
2002-01-04,27.9385,28.1425,27.8501,28.0861,11097332.255688
2002-01-07,28.1298,28.3483,27.8686,27.9103,7836517.1236682
2002-01-08,27.9103,28.0365,27.6258,27.8462,6945829.363863
2002-01-09,27.4558,27.685,27.1838,27.3334,10488813.768655
2002-01-10,27.1459,27.7841,27.0391,27.6073,10639437.829354
2002-01-11,27.5723,28.0424,27.4043,27.7841,8333270.418113
2002-01-14,27.7841,28.3483,27.7073,28.1298,9962992.2575613
2002-01-15,28.0142,28.4339,27.6782,28.0084,8135880.0118339
2002-01-16,28.0142,28.1357,26.3292,27.3985,7949316.0541968
2002-01-17,27.6258,28.0084,27.549,27.8559,7160246.5871834
2002-01-18,27.6471,27.8462,27.2052,27.3411,9095519.3277635
2002-01-22,27.3461,27.3752,26.8449,27.0071,7763090.8413625
2002-01-23,26.9497,27.8754,26.9148,27.4781,9158101.6578964
2002-01-24,27.4781,27.5782,26.8449,26.8963,11066210.977833
2002-01-25,26.8963,27.0906,26.1698,26.7477,13935670.841244
2002-01-28,26.6137,26.974,26.5875,26.9294,8405320.0991981
2002-01-29,27.0906,27.0906,26.1485,26.1766,10904401.131298
2002-01-30,26.1485,26.1533,25.2336,25.6668,16798432.000437
2002-01-31,25.8872,26.0601,25.5551,25.9154,14524078.800948
2002-02-01,25.9154,26.3942,25.9154,26.0533,9608263.6420709
2002-02-04,26.2204,26.2533,25.4434,25.4978,8244723.14439
2002-02-05,25.3559,25.693,24.8791,25.1647,15116608.327358
2002-02-06,25.1647,25.188,24.0555,24.2691,15099760.664103
2002-02-07,24.1837,25.1054,24.1837,24.8791,11326191.951201
2002-02-08,24.8791,25.4434,24.6946,25.2754,7967025.5089414
2002-02-11,25.3559,25.6589,25.2055,25.4541,6835096.8795944
2002-02-12,25.4541,25.49,25.1355,25.3463,6753926.8293159
2002-02-13,25.2754,25.3852,25.0161,25.3259,8496105.7656313
2002-02-14,25.3259,25.6172,25.1647,25.4609,7314140.7192946
2002-02-15,25.4609,25.7911,25.1996,25.5036,7873997.3313201
2002-02-19,25.4667,25.8513,25.2161,25.5589,9657957.19578
2002-02-20,25.5589,26.2718,25.4492,26.0601,9342425.1635845
2002-02-21,25.7231,25.8241,24.7169,24.8548,11173156.52172
2002-02-22,24.8791,25.4336,24.8684,25.3259,7730254.2174838
2002-02-25,25.5852,26.3437,25.4978,26.1067,8312641.992194
2002-02-26,26.1971,26.568,26.0407,26.2844,7949316.0541968
2002-02-27,26.2893,26.9216,26.1825,26.3583,8876277.3076446
2002-02-28,26.4204,26.8963,26.1698,26.1698,8909126.2869569
2002-03-01,26.3942,27.1722,26.2816,27.1722,7733001.2422081
2002-03-04,27.179,27.2285,26.467,26.7993,12445920.619543
2002-03-05,26.7818,26.7993,26.3107,26.503,7723891.1692092
2002-03-06,26.5875,26.908,26.5778,26.8905,7994361.9056547
2002-03-07,26.7818,26.871,26.4204,26.6079,7046763.9893321
2002-03-08,26.8118,26.8905,25.894,26.0796,9682030.7284185
2002-03-11,25.9154,26.334,25.8037,26.2893,9524010.9111235
2002-03-12,26.2816,26.5613,26.0087,26.537,8073977.2305459
2002-03-13,26.537,26.8391,26.3612,26.7623,7089408.7682049
2002-03-14,26.7623,26.8322,26.5312,26.7517,7012023.5990683
2002-03-15,27.0595,27.0595,26.6137,26.67,13497721.173507
2002-03-18,26.5312,26.8118,26.3175,26.6254,6611043.4477301
2002-03-19,26.5875,26.7925,26.3515,26.6632,6806035.8702824
2002-03-20,26.7302,26.9789,26.67,26.8963,7244672.2942004
2002-03-21,26.7517,26.8905,26.032,26.2961,10390453.19184
2002-03-22,26.2204,26.2204,25.4541,25.5036,12286868.093928
2002-03-25,25.4978,25.6979,25.4492,25.5308,9077120.0279794
2002-03-26,25.4667,25.9553,25.4492,25.6979,9279331.112579
2002-03-27,25.525,25.7736,25.4492,25.4667,8903966.8638333
2002-03-28,25.5551,25.9892,25.5036,25.7736,7808144.9297762
2002-04-01,25.4492,25.729,25.3336,25.693,8485277.2577506
2002-04-02,25.3045,25.4609,25.1822,25.3852,7301070.7298453
2002-04-03,25.39,25.5852,25.2802,25.4434,8732882.2051863
2002-04-04,25.2161,25.4434,25.1647,25.3394,9593479.3362175
2002-04-05,25.3852,25.4434,25.2414,25.2754,5444039.8017942
2002-04-08,25.2123,25.3394,24.8684,24.9316,7212690.2544751
2002-04-09,24.5906,24.7577,24.0778,24.0827,18166267.040893
2002-04-10,24.0827,24.7888,23.8282,24.7577,16020365.046993
2002-04-11,23.9661,24.2225,23.0648,23.5845,25554520.798674
2002-04-12,23.4319,24.0185,23.3213,23.8797,13131648.210786
2002-04-15,23.7165,23.8282,23.1727,23.3387,11032335.467917
2002-04-16,23.6291,24.6625,23.6126,24.5906,10671758.613883
2002-04-17,24.4217,24.7247,24.1351,24.1711,9999790.8571295
2002-04-18,24.0235,24.4081,23.5193,23.938,7776681.8182596
2002-04-19,23.938,23.938,23.4785,23.6864,10748452.908361
2002-04-22,23.262,23.3213,22.5608,22.5608,21183095.308266
2002-04-23,22.2733,23.5193,22.2733,22.6345,22226129.682132
2002-04-24,22.756,23.397,22.7113,23.0648,12235453.016479
2002-04-25,22.8677,23.5727,22.8395,23.362,13462301.234399
2002-04-26,23.3727,23.464,23.0405,23.2329,16150704.574675
2002-04-29,23.0076,23.0998,21.7818,22.0751,14073230.060593
2002-04-30,22.0819,22.7162,21.914,22.619,17409876.66598
2002-05-01,22.6987,23.4592,22.1703,23.4241,12637639.881826
2002-05-02,23.5193,23.7165,23.1649,23.4038,10835459.871368
2002-05-03,23.262,23.262,22.6112,22.756,6917796.9443934
2002-05-06,22.756,23.1396,22.4423,22.4869,7108488.6464533
2002-05-07,22.6987,22.7317,22.2286,22.2869,8328805.9881262
2002-05-08,22.4423,23.4319,22.4423,23.3144,10913693.446942
2002-05-09,23.1289,23.3727,22.6112,22.6404,7782867.7719867
2002-05-10,22.8395,22.857,21.9965,22.1927,10130125.236714
2002-05-13,22.2451,23.1231,22.2034,23.1231,10617597.541329
2002-05-14,23.4038,23.8223,23.296,23.7739,10319264.272625
2002-05-15,23.768,24.105,23.6068,23.7972,8224429.3447959
2002-05-16,24.0827,24.8898,24.0555,24.8082,12792213.562783
2002-05-17,24.6946,24.6946,24.2002,24.3274,9718997.155959
2002-05-20,24.2526,24.2526,23.8321,23.9137,6850570.0008678
2002-05-21,23.7165,24.745,23.7088,24.2643,10019394.811684
2002-05-22,24.2468,24.5838,24.0098,24.4566,6228805.4594569
2002-05-23,24.3032,24.9257,23.9972,24.9169,9186650.9463359
2002-05-24,24.9257,25.0529,24.5207,24.5314,7499155.0996417
2002-05-28,24.8966,25.221,24.7509,25.1822,8523105.4767807
2002-05-29,25.1229,25.1647,24.7004,24.7509,7950861.5130091
2002-05-30,24.4217,24.9092,24.3099,24.8082,9068864.5391339
2002-05-31,24.7004,25.1404,24.105,24.2526,10486059.536593
2002-06-03,24.2526,24.547,23.6864,23.7874,9550494.7829224
2002-06-04,23.4319,24.2002,23.4145,23.8865,9958182.9050547
2002-06-05,23.8282,24.2526,23.599,23.768,7455301.5475206
2002-06-06,23.768,23.8282,22.9492,23.1231,8918238.4191947
2002-06-07,22.8395,23.565,22.7162,23.3912,8062799.6816675
2002-06-10,23.4592,24.0098,23.0648,23.5087,6550517.2676626
2002-06-11,23.5727,23.8282,22.7987,22.857,7367956.869329
2002-06-12,22.9542,23.5942,22.9542,23.5251,10055332.649382
2002-06-13,23.599,23.6582,23.0648,23.3213,8970680.0272475
2002-06-14,22.5608,23.4319,22.2733,23.296,15750406.03142
2002-06-17,23.2329,23.8865,23.2289,23.6126,10651303.164034
2002-06-18,23.3727,23.9476,23.2921,23.9137,9538452.353696
2002-06-19,23.6864,23.8865,22.4277,22.4481,14296072.65997
2002-06-20,22.4306,22.9269,22.1519,22.5209,14104350.308829
2002-06-21,22.3325,23.1231,22.3325,22.6987,19178014.368169
2002-06-24,22.1344,22.4724,21.7119,22.3899,14954804.65854
2002-06-25,22.5287,22.6686,21.7877,21.7983,10493628.269258
2002-06-26,20.8029,22.2733,20.5834,21.8246,21566714.016238
2002-06-27,21.5993,22.1626,20.6911,22.1247,15958297.526591
2002-06-28,21.879,22.6404,21.6857,22.6404,16036188.238884
2002-07-01,22.3616,22.6686,21.5468,21.5642,10827029.347215
2002-07-02,21.5642,21.5642,20.8688,20.9582,16751660.506761
2002-07-03,20.9485,21.4264,20.5299,21.1933,13165859.376646
2002-07-05,21.1933,21.9965,21.0884,21.9333,6648184.9105791
2002-07-08,22.1869,22.384,21.5011,21.9586,11276323.362183
2002-07-09,22.013,22.0712,21.1369,21.2816,10246708.018765
2002-07-10,21.2447,21.3176,20.5076,20.5649,13403495.548452
2002-07-11,20.2502,21.6226,20.1852,21.4196,17630999.800857
2002-07-12,21.4196,21.4604,19.9414,20.1045,17159860.349766
2002-07-15,19.5072,20.023,18.8312,20.023,20260768.372017
2002-07-16,19.4528,20.0549,19.0925,19.9374,15533406.522489
2002-07-17,20.4483,20.493,19.6801,20.1404,15462222.751372
2002-07-18,20.1045,20.4774,19.2508,19.3975,10918849.781208
2002-07-19,18.8827,19.4071,17.9426,18.5097,15398950.576199
2002-07-22,17.2617,17.6492,15.9341,16.3186,40414415.135217
2002-07-23,16.2313,16.511,15.1396,15.6222,31557385.533793
2002-07-24,14.8647,16.2313,14.8123,15.865,30735823.335802
2002-07-25,15.865,16.511,15.6262,15.7223,21319787.588028
2002-07-26,15.9126,16.4828,15.4339,16.3954,16888528.85145
2002-07-29,17.0578,17.5152,16.8208,17.3307,16124222.762114
2002-07-30,17.0849,17.6065,16.9179,17.2054,15006218.706371
2002-07-31,17.5667,19.0828,17.3695,18.7972,30436117.584355
2002-08-01,18.8827,18.907,17.8027,17.861,18189487.018997
