Date,Open,High,Low,Close,Volume
2002-01-02,24.3165,24.5004,24.0657,24.5004,17870929.594588
2002-01-03,24.6502,24.7318,24.3847,24.5334,16360695.970229
2002-01-04,24.5558,24.7882,24.5004,24.7425,13012583.607044
2002-01-07,24.5879,24.8018,24.4313,24.5257,16056647.613471
2002-01-08,24.6813,24.7367,24.4391,24.5558,13380806.342779
2002-01-09,24.5004,24.7269,24.1892,24.2787,16097054.541788
2002-01-10,24.2787,24.6015,24.1677,24.371,12676202.304081
2002-01-11,24.371,24.5004,23.7865,23.8177,13757437.248631
2002-01-14,23.8809,24.2495,23.8177,23.9053,16342275.527593
2002-01-15,24.0589,24.4692,24.053,24.3165,15131236.821944
2002-01-16,24.1279,24.1337,23.7934,23.8041,14146030.028392
2002-01-17,23.8926,24.1473,23.8809,23.9053,12090086.934888
2002-01-18,23.9053,24.0365,23.6806,23.7544,16652135.670764
2002-01-22,24.0365,24.4391,23.5123,23.5182,11569117.660552
2002-01-23,23.8177,24.2358,23.8177,24.0657,15990863.990733
2002-01-24,23.8809,24.1201,23.8235,24.0054,16171248.391183
2002-01-25,24.1143,24.5189,23.9402,24.2281,13663684.660854
2002-01-28,24.4079,24.6628,23.9489,24.1026,13089203.147192
2002-01-29,23.8177,24.0657,23.4734,23.4734,19055603.437605
2002-01-30,23.4734,23.9626,23.3868,23.9334,18958626.192681
2002-01-31,23.8235,24.161,23.6913,24.161,17121871.353807
2002-02-01,24.2213,24.2495,24.0054,24.1279,15385668.029067
2002-02-04,24.1892,24.2495,23.666,23.7252,16276804.499171
2002-02-05,23.8809,24.0657,23.4199,23.7126,17672264.596327
2002-02-06,23.7185,24.1143,23.5852,24.0793,16787758.41617
2002-02-07,23.9334,24.1201,23.6368,23.6913,14591992.09115
2002-02-08,23.5366,23.7302,23.5006,23.6854,14111595.296728
2002-02-11,23.6854,24.0724,23.4792,23.8177,14156530.729531
2002-02-12,23.9266,23.9683,23.2633,23.7544,11837443.890639
2002-02-13,23.8177,23.9217,23.5803,23.9053,16262256.524266
2002-02-14,24.1143,24.3778,23.9217,24.1279,16026582.004323
2002-02-15,24.2398,24.3778,24.0657,24.0657,16973162.834537
2002-02-19,24.0657,24.4012,23.9567,23.983,15943819.574572
2002-02-20,24.053,24.1201,23.7865,24.1201,11694066.95533
2002-02-21,24.4079,24.581,24.1677,24.2213,19760207.476303
2002-02-22,24.3778,25.3416,24.161,25.1909,28835334.580738
2002-02-25,25.2725,25.4611,25.1296,25.3668,18594438.391459
2002-02-26,25.3668,25.4349,25.1169,25.1909,16241891.621597
2002-02-27,25.3163,25.6995,25.1062,25.3163,22532389.49231
2002-02-28,25.611,25.8589,25.5234,25.5487,20835295.41817
2002-03-01,25.8268,25.9795,25.7666,25.9795,20502470.903814
2002-03-04,26.0748,26.4181,26.0496,26.3861,19015521.442852
2002-03-05,26.2937,26.5436,26.1021,26.2937,17395374.927239
2002-03-06,26.3248,26.8957,26.2168,26.7283,23222441.443022
2002-03-07,26.8159,26.8159,26.3578,26.5368,19025379.474757
2002-03-08,26.9083,26.9229,26.3987,26.5485,17464067.527995
2002-03-11,26.7555,27.0833,26.7119,26.9014,19580137.726711
2002-03-12,26.9666,27.2244,26.887,27.2244,20864072.604039
2002-03-13,27.1873,27.2768,26.5718,26.671,23267541.39915
2002-03-14,26.8733,26.8781,26.6068,26.7478,14072477.819961
2002-03-15,26.9083,27.2107,26.7945,26.9773,25975060.607562
2002-03-18,27.0638,27.2155,26.8081,27.0581,13851025.313086
2002-03-19,27.2107,27.2107,26.9229,27.097,13104073.99912
2002-03-20,26.9958,27.0162,26.8032,26.9296,13143996.611902
2002-03-21,27.0162,27.0289,26.7236,26.9296,13106336.194822
2002-03-22,26.9083,27.0085,26.671,26.8897,15075959.041699
2002-03-25,26.7343,26.7945,26.5057,26.5125,15351722.75429
2002-03-26,26.5718,27.0638,26.5718,27.0581,18375576.098664
2002-03-27,26.9608,27.3128,26.9608,27.1873,18107567.604246
2002-03-28,27.2467,27.3993,27.0434,27.1154,15610993.003674
2002-04-01,27.345,27.4217,27.097,27.1154,14439408.019334
2002-04-02,27.1592,27.5851,27.1417,27.4568,14526369.906925
2002-04-03,27.4568,27.4704,26.848,27.0289,20677535.03128
2002-04-04,27.2856,27.2856,26.5718,26.6914,22252097.275232
2002-04-05,26.6613,27.204,26.1361,26.3744,18358443.051035
2002-04-08,26.8159,27.0289,26.6175,26.7478,15053807.004424
2002-04-09,26.4181,26.5485,26.2761,26.4317,14961033.330423
2002-04-10,26.2937,26.7119,26.2937,26.7119,16805865.236222
2002-04-11,26.6797,26.6846,26.1954,26.2314,13881091.950505
