headline,stock,date,exact_time
Delta Air Lines selects Hughes Multi-Orbit In-Flight Connectivity Solution,dal,2025-03-06,12:12:03
AAL  DAL  UAL: Airline Stocks Crash on Fears U.S. Economy Is Slowing Down,dal,2025-03-04,16:59:03
Trump tariffs lead to sweeping losses with travel and leisure stocks,dal,2025-03-04,16:04:14
No LUV-ing for Southwest Airlines Stock at JPMorgan,dal,2025-03-03,14:18:04
American Airlines (AAL) Trials Free Inflight WiFi to Lure Travelers,dal,2025-02-28,19:54:44
Delta Air Lines price target raised to $80 from $75 at Redburn Atlantic,dal,2025-02-26,14:25:49
Delta Air Lines call volume above normal and directionally bullish,dal,2025-02-25,19:45:55
Delta flight forced to return to Atlanta airport due to ‘haze ’ NY Times reports,dal,2025-02-25,11:12:05
Dividend Roundup: Delta Air Lines  Goldman Sachs  Occidental Petroleum  Nucor  and more,dal,2025-02-21,13:29:38
Delta Air Lines Offers $30K to Crash Victims  No Strings Attached,dal,2025-02-20,17:36:52
DAL  UAL  or LUV: Which Airline Stock Is Wall Street’s Best Pick?,dal,2025-02-19,04:59:57
Delta Air Lines put volume heavy and directionally bearish,dal,2025-02-18,21:00:23
Delta flight crashes in Toronto  Southwest cuts corporate roles: Morning Buzz,dal,2025-02-18,17:03:09
Biggest stock movers Tuesday: INTC  DAL  STZ  HEES  and more,dal,2025-02-18,14:57:53
Insider Trading: Delta Air Lines’ (DAL) Key Executive Offloads Stock Worth $2.47M,dal,2025-02-13,11:03:05
Delta Air Lines files to sell 9.22M shares of common stock for holders,dal,2025-02-11,22:20:07
Delta Air Lines declares $0.15 dividend,dal,2025-02-06,21:51:14
Delta debuts new experiences with DraftKings  YouTube  more access in 2025,dal,2025-02-03,20:00:50
Airlines are flying high with record earnings as they bounce back from the pandemic,dal,2025-01-24,13:24:01
American Airlines' outlook overshadows upbeat Q4 results,dal,2025-01-23,13:30:20
Delta cancels flights as many Gulf Coast  Southeast airports remain closed,dal,2025-01-22,18:15:11
TD Cowen Keeps Their Buy Rating on Delta Air Lines (DAL),dal,2025-01-21,23:15:26
Delta Air Lines put buyer realizes 14% same-day gains,dal,2025-01-21,13:00:12
American Airlines upgraded to Neutral at BofA amid return of corporate travel,dal,2025-01-17,11:15:09
Goldman Sachs Remains a Buy on Delta Air Lines (DAL),dal,2025-01-13,14:05:47
Delta Air Lines price target raised to $90 from $78 at TD Cowen,dal,2025-01-13,12:50:15
Delta Air Lines: Strategic Premiumization and Operational Reliability Drive Positive Outlook,dal,2025-01-13,06:57:16
Analysts Offer Insights on Industrial Goods Companies: Stanley Black & Decker (SWK) and Delta Air Lines (DAL),dal,2025-01-11,15:40:33
Delta Air Lines Reports Record 2024 Financial Results,dal,2025-01-11,03:51:58
Delta soars to 52-week high despite operational issues in snowy Atlanta,dal,2025-01-10,18:02:02
Delta says positioned to deliver another year of ‘industry-leading’ performance,dal,2025-01-10,15:15:36
Biggest stock movers Friday: TLRY  DAL  MVST  and more,dal,2025-01-10,14:38:40
4 stocks to watch on Friday: DAL  WBA and more,dal,2025-01-10,13:19:54
Delta announces new partnerships with Uber and YouTube  advancements with Joby,dal,2025-01-08,19:45:26
Delta Air Lines price target lowered to $75 from $77 at Bernstein,dal,2025-01-07,11:45:28
Jefferies Remains a Buy on Delta Air Lines (DAL),dal,2025-01-06,13:07:38
Raymond James Sticks to Its Buy Rating for Delta Air Lines (DAL),dal,2024-12-30,10:55:44
