,Models(rows)/Stocks(columns),aapl,googl,nvda,dal,xom,cvx,vz
0,Naive_0,"(0.6519073569482289, 15)","(0.6074887023886378, 2)","(0.5992292870905588, 2)","(0.870257966616085, 7)","(0.537511577647422, 2)","(0.5630885122410546, 2)","(0.759625764663548, 11)"
1,Naive_1,"(0.3499005964214712, 2)","(0.40214837193689157, 24)","(0.4138620459846718, 24)","(0.13406507252058017, 24)","(0.472400513478819, 24)","(0.44546048334421945, 24)","(0.24613117170228446, 24)"
2,XGBoost,"(np.float64(0.9278573358551743), 11)","(np.float64(0.9059391872691105), 6)","(np.float64(0.9512538743307974), 14)","(np.float64(0.9625), 20)","(np.float64(0.9372781065088758), 7)","(np.float64(0.9363186972957255), 10)","(np.float64(0.9578579743888243), 10)"
3,Ada Boosting,"(np.float64(0.9183068212456188), 10)","(np.float64(0.898398674765323), 2)","(np.float64(0.9376955903271693), 18)","(np.float64(0.9596642574026579), 24)","(np.float64(0.9301643192488263), 8)","(np.float64(0.9338723650014439), 7)","(np.float64(0.9501615136132903), 4)"
4,Decision Tree,"(np.float64(0.8744850315847295), 9)","(np.float64(0.8590526009880849), 12)","(np.float64(0.8866279069767442), 18)","(np.float64(0.8947238048055487), 24)","(np.float64(0.8795534665099882), 7)","(np.float64(0.8844250363901018), 7)","(np.float64(0.9212467285272424), 5)"
5,Random Forest Classifier,"(np.float64(0.9031556039173014), 4)","(np.float64(0.9040632054176072), 4)","(np.float64(0.9380224848659556), 22)","(np.float64(0.9603174603174603), 24)","(np.float64(0.9300239234449761), 22)","(np.float64(0.9395667046750285), 7)","(np.float64(0.9541966984422228), 10)"
6,KNN,"(np.float64(0.9329623071085251), 7)","(np.float64(0.919957310565635), 5)","(np.float64(0.9383236689509752), 8)","(np.float64(0.9783143304270064), 22)","(np.float64(0.9087367835281024), 3)","(np.float64(0.9358346927678086), 5)","(np.float64(0.9516745336030569), 7)"
7,Tuned XGBoost,"(np.float64(0.9283202596700028), 10)","(np.float64(0.9086221712976225), 8)","(np.float64(0.9533707865168539), 13)","(np.float64(0.9690625726913236), 24)","(np.float64(0.939540507859734), 17)","(np.float64(0.9465992130410343), 6)","(np.float64(0.9608257095941825), 13)"
